"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-04-01 00:00","2023","04","01","00:00","1.1","","0.3","","95","","","","9","","13","","16.1","","100.54","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-04-01 01:00","2023","04","01","01:00","1.1","","0.3","","94","","","","9","","11","","16.1","","100.39","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-04-01 02:00","2023","04","01","02:00","1.3","","0.6","","95","","","","7","","12","","19.3","","100.23","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-04-01 03:00","2023","04","01","03:00","1.4","","0.7","","95","","","","6","","15","","9.7","","100.03","","","","","","Fog"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-04-01 04:00","2023","04","01","04:00","1.6","","1.0","","96","","","","7","","15","","9.7","","99.82","","","","","","Rain,Fog"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-04-01 05:00","2023","04","01","05:00","1.2","","0.6","","96","","","","3","","16","","9.7","","99.71","","","","","","Rain,Fog"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-04-01 06:00","2023","04","01","06:00","1.0","","0.5","","96","","","","3","","22","","8.1","","99.45","","","","","","Rain,Fog"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-04-01 07:00","2023","04","01","07:00","1.5","","1.0","","97","","","","6","","16","","6.4","","99.27","","","","","","Rain,Fog"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-04-01 08:00","2023","04","01","08:00","1.6","","1.1","","97","","","","4","","20","","9.7","","99.08","","","","","","Rain,Fog"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-04-01 09:00","2023","04","01","09:00","2.7","","2.3","","97","","","","8","","21","","2.0","","98.86","","","","","","Drizzle,Fog"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-04-01 10:00","2023","04","01","10:00","3.1","","2.7","","98","","","","7","","16","","2.4","","98.70","","","","","","Drizzle,Fog"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-04-01 11:00","2023","04","01","11:00","4.0","","3.5","","97","","","","10","","7","","4.8","","98.57","","","","","","Drizzle,Fog"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-04-01 12:00","2023","04","01","12:00","5.3","","4.7","","96","","","","27","","16","","24.1","","98.51","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-04-01 13:00","2023","04","01","13:00","6.4","","5.6","","94","","","","35","","14","","24.1","","98.49","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-04-01 14:00","2023","04","01","14:00","9.8","","7.2","","83","","","","30","","7","","48.3","","98.43","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-04-01 15:00","2023","04","01","15:00","10.7","","5.0","","68","","","","30","","19","","48.3","","98.39","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2023-04-01 16:00","2023","04","01","16:00","11.6","","5.6","","66","","","","30","","22","","48.3","","98.41","","","","","","Mainly Clear"
