"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 00:00","2024","11","01","00:00","","20.2","","15.1","","72","","","","23","","26","","19.3","","100.06","","","","","","Rain Showers"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 01:00","2024","11","01","01:00","","18.9","","15.4","","80","","","","22","","30","","24.1","","100.01","","","","","","Rain Showers"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 02:00","2024","11","01","02:00","","17.9","","16.3","","90","","","","24","","22","","16.1","","100.02","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 03:00","2024","11","01","03:00","","17.7","","15.8","","89","","","","27","","21","","24.1","","100.03","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 04:00","2024","11","01","04:00","","17.2","","14.8","","85","","","","25","","18","","24.1","","100.04","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 05:00","2024","11","01","05:00","","16.5","","14.7","","89","","","","22","","14","","24.1","","100.01","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 06:00","2024","11","01","06:00","","17.0","","15.2","","89","","","","24","","24","","24.1","","100.03","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 07:00","2024","11","01","07:00","","16.4","","13.8","","84","","","","24","","28","","24.1","","100.05","","","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 08:00","2024","11","01","08:00","","16.5","","13.1","","80","","","","24","","35","","24.1","","100.11","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 09:00","2024","11","01","09:00","","16.7","","11.8","","72","","","","27","","43","","24.1","","100.16","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 10:00","2024","11","01","10:00","","15.4","","7.7","","60","","","","28","","41","","24.1","","100.29","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 11:00","2024","11","01","11:00","","15.5","","7.4","","58","","","","27","","48","","24.1","","100.44","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 12:00","2024","11","01","12:00","","16.0","","6.6","","53","","","","27","","35","","24.1","","100.52","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 13:00","2024","11","01","13:00","","15.0","","5.1","","51","","","","28","","43","","24.1","","100.63","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 14:00","2024","11","01","14:00","","14.2","","4.8","","53","","","","28","","35","","24.1","","100.77","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 15:00","2024","11","01","15:00","","13.1","","4.0","","54","","","","31","","27","","24.1","","100.97","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 16:00","2024","11","01","16:00","","11.1","","3.0","","57","","","","33","","25","","24.1","","101.14","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 17:00","2024","11","01","17:00","","9.4","","3.0","","64","","","","33","","21","","24.1","","101.29","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 18:00","2024","11","01","18:00","","8.7","","2.1","","64","","","","2","","25","","24.1","","101.42","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 19:00","2024","11","01","19:00","","7.9","","0.9","","61","","","","1","","22","","24.1","","101.54","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 20:00","2024","11","01","20:00","","7.0","","0.3","","62","","","","2","","24","","24.1","","101.61","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 21:00","2024","11","01","21:00","","6.1","","0.4","","67","","","","3","","25","","24.1","","101.68","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 22:00","2024","11","01","22:00","","5.0","","-1.7","","62","","","","4","","21","","24.1","","101.79","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-01 23:00","2024","11","01","23:00","","4.7","","-2.4","","60","","","","4","","18","","24.1","","101.85","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 00:00","2024","11","02","00:00","","4.4","","-2.3","","62","","","","4","","23","","24.1","","101.89","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 01:00","2024","11","02","01:00","","4.0","","-2.4","","63","","","","5","","17","","24.1","","101.95","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 02:00","2024","11","02","02:00","","3.9","","-2.7","","62","","","","4","","13","","24.1","","102.00","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 03:00","2024","11","02","03:00","","4.0","","-1.9","","65","","","","1","","10","","24.1","","102.06","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 04:00","2024","11","02","04:00","","3.8","","-2.4","","64","","","","4","","9","","24.1","","102.13","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 05:00","2024","11","02","05:00","","3.3","","-2.7","","65","","","","5","","16","","24.1","","102.21","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 06:00","2024","11","02","06:00","","3.3","","-2.4","","67","","","","1","","14","","24.1","","102.28","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 07:00","2024","11","02","07:00","","3.1","","-3.6","","61","","","","1","","13","","24.1","","102.36","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 08:00","2024","11","02","08:00","","3.4","","-3.4","","61","","","","34","","13","","24.1","","102.42","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 09:00","2024","11","02","09:00","","3.6","","-3.7","","59","","","","1","","12","","24.1","","102.45","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 10:00","2024","11","02","10:00","","3.7","","-4.0","","57","","","","35","","9","","24.1","","102.46","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 11:00","2024","11","02","11:00","","4.4","","-3.9","","55","","","","31","","15","","24.1","","102.44","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 12:00","2024","11","02","12:00","","4.2","","-4.5","","53","","","","31","","18","","24.1","","102.43","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 13:00","2024","11","02","13:00","","4.3","","-4.6","","52","","","","31","","17","","24.1","","102.42","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 14:00","2024","11","02","14:00","","4.3","","-5.0","","51","","","","32","","16","","24.1","","102.40","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 15:00","2024","11","02","15:00","","3.6","","-5.1","","53","","","","32","","12","","24.1","","102.44","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 16:00","2024","11","02","16:00","","4.0","","-4.9","","52","","","","32","","6","","24.1","","102.46","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 17:00","2024","11","02","17:00","","4.1","","-4.5","","54","","","","26","","16","","24.1","","102.49","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 18:00","2024","11","02","18:00","","4.0","","-4.4","","54","","","","31","","8","","24.1","","102.53","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 19:00","2024","11","02","19:00","","4.0","","-4.9","","52","","","","32","","10","","24.1","","102.59","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 20:00","2024","11","02","20:00","","2.3","","-5.1","","58","","","","33","","8","","24.1","","102.60","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 21:00","2024","11","02","21:00","","1.9","","-5.0","","61","","","","33","","9","","24.1","","102.61","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 22:00","2024","11","02","22:00","","0.7","","-5.0","","66","","","","33","","9","","24.1","","102.64","","","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-02 23:00","2024","11","02","23:00","","0.6","","-5.2","","65","","","","34","","6","","24.1","","102.65","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-03 00:00","2024","11","03","00:00","","0.0","","-5.3","","68","","","","34","","5","","24.1","","102.66","","","","-2","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-03 01:00","2024","11","03","01:00","","-0.2","","-5.1","","70","","","","33","","7","","24.1","","102.68","","","","-3","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-03 02:00","2024","11","03","02:00","","-0.7","","-5.1","","72","","","","34","","8","","24.1","","102.73","","","","-4","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-03 03:00","2024","11","03","03:00","","-1.1","","-5.0","","75","","","","34","","7","","24.1","","102.73","","","","-4","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-03 04:00","2024","11","03","04:00","","-2.1","","-5.0","","80","","","","2","","6","","24.1","","102.81","","","","-4","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-03 05:00","2024","11","03","05:00","","-2.7","","-5.3","","82","","","","2","","4","","24.1","","102.83","","","","-4","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2024-11-03 06:00","2024","11","03","06:00","","-2.6","","-5.3","","82","","","","5","","5","","24.1","","102.85","","","","-5","","NA"
